time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-19T17:07:03.080Z,-59.9021,-28.6675,206.26,4.8,mb,,98,13.844,0.52,us,us10004r42,2016-02-20T16:13:57.054Z,"155km SW of Bristol Island, South Sandwich Islands",earthquake,8.4,10.9,0.085,43,reviewed,us,us
2016-02-19T16:02:13.770Z,-4.131,152.9181,48.33,4.9,mb,,119,0.754,0.52,us,us10004r3n,2016-02-20T00:04:52.226Z,"39km NNW of Taron, Papua New Guinea",earthquake,9.2,8.6,0.122,21,reviewed,us,us
2016-02-19T13:13:52.390Z,37.2205,142.2218,20.17,5.1,mb,,94,1.309,0.81,us,us10004r0w,2016-02-19T21:27:42.778Z,"112km ESE of Namie, Japan",earthquake,6.4,4.9,0.048,139,reviewed,us,us
2016-02-19T10:52:53.390Z,2.2173,128.8786,59.9,4.5,mb,,112,2.084,0.98,us,us10004r0h,2016-02-19T18:55:26.715Z,"110km ENE of Tobelo, Indonesia",earthquake,9.2,8.2,0.095,33,reviewed,us,us
2016-02-19T08:13:27.220Z,39.2524,143.5789,29.42,4.5,mb,,151,2.586,0.76,us,us10004qzw,2016-02-19T16:16:04.308Z,"142km E of Yamada, Japan",earthquake,8.7,6.9,0.108,25,reviewed,us,us
2016-02-19T05:33:09.170Z,-30.5696,-71.5703,30.21,5.2,mb,,138,0.117,0.91,us,us10004qzj,2016-02-19T18:35:59.000Z,"35km W of Ovalle, Chile",earthquake,2.5,7.1,0.094,38,reviewed,us,us
2016-02-19T05:29:27.320Z,-15.6336,-177.5251,411.57,4.6,mb,,106,4.729,0.77,us,us10004qzk,2016-02-19T13:32:11.253Z,"162km SSE of Sigave, Wallis and Futuna",earthquake,13.6,8.6,0.081,46,reviewed,us,us
2016-02-19T05:16:17.730Z,-31.3773,-178.2794,41.48,4.8,mb,,125,2.146,0.9,us,us10004qzg,2016-02-19T13:18:50.656Z,"59km E of L'Esperance Rock, New Zealand",earthquake,10.8,8.9,0.102,30,reviewed,us,us
2016-02-19T04:42:39.030Z,13.798,-88.843,198.6,5,mb,,68,0.393,1.13,us,us10004qz4,2016-02-19T12:45:25.272Z,"7km N of San Sebastian, El Salvador",earthquake,7.8,6.6,0.031,329,reviewed,us,us
2016-02-19T01:50:18.950Z,35.6346,140.243,53.18,4.5,mb,,113,0.596,1.14,us,us10004qya,2016-02-24T04:35:49.977Z,"6km WSW of Yachimata, Japan",earthquake,6.4,6.2,0.087,39,reviewed,us,us
2016-02-19T01:47:03.720Z,-45.3383,-77.7826,16.16,4.8,mb,,103,3.986,1.02,us,us10004qyl,2016-02-19T09:49:33.832Z,"Off the coast of Aisen, Chile",earthquake,12.1,4.5,0.093,37,reviewed,us,us
2016-02-18T20:47:36.530Z,-5.5248,152.751,10,4.9,mb,,95,1.448,0.68,us,us10004qw5,2016-02-19T04:50:19.959Z,"121km SSW of Taron, Papua New Guinea",earthquake,9.1,1.9,0.071,62,reviewed,us,us
2016-02-18T20:29:39.590Z,17.2065,60.0756,10,5,mb,,115,7.506,1.04,us,us10004qvv,2016-02-19T04:33:06.220Z,"Owen Fracture Zone region",earthquake,7.2,1.7,0.056,101,reviewed,us,us
2016-02-18T17:49:22.060Z,12.411,123.6619,10,4.6,mb,,132,5.633,0.78,us,us10004qt7,2016-02-19T01:51:52.366Z,"6km NE of Masbate, Philippines",earthquake,4.1,1.9,0.088,39,reviewed,us,us
2016-02-18T17:36:13.440Z,-5.3522,152.5985,42.22,4.8,mb,,115,1.232,0.75,us,us10004qsz,2016-02-19T01:38:50.346Z,"109km SSW of Taron, Papua New Guinea",earthquake,10.4,8.8,0.088,40,reviewed,us,us
2016-02-18T16:38:58.050Z,6.5318,126.9743,92.45,4.8,mb,,84,1.485,0.83,us,us10004qsr,2016-02-19T17:03:57.000Z,"80km ESE of Bobon, Philippines",earthquake,7.8,5.9,0.044,159,reviewed,us,us
2016-02-18T11:14:17.900Z,-3.0947,129.4852,43.39,4.5,mb,,75,2.765,1.26,us,us10004qrp,2016-02-18T19:16:51.542Z,"68km ENE of Amahai, Indonesia",earthquake,8.7,8.8,0.111,24,reviewed,us,us
2016-02-18T09:55:14.270Z,48.9438,154.8815,70.31,4.8,mb,,136,4.532,0.63,us,us10004qrg,2016-02-18T17:57:47.164Z,"212km SSW of Severo-Kuril'sk, Russia",earthquake,3.8,7.1,0.057,96,reviewed,us,us
2016-02-18T09:18:42.230Z,-20.3165,-69.2314,102.75,4.5,mb,,48,0.189,0.76,us,us10004qra,2016-02-18T10:01:11.143Z,"95km E of Iquique, Chile",earthquake,5.9,4.5,0.113,23,reviewed,us,us
2016-02-18T01:18:33.740Z,23.0296,120.9179,10,4.7,mwr,,91,0.258,0.94,us,us10004qp8,2016-02-18T08:30:35.794Z,"37km NW of Taitung City, Taiwan",earthquake,2,1.9,0.063,24,reviewed,us,us
2016-02-18T01:09:41.380Z,23.0544,120.9381,10,4.9,mwr,,88,0.269,1.22,us,us10004qp3,2016-02-18T01:56:33.109Z,"38km NNW of Taitung, Taiwan",earthquake,2.2,1.9,0.066,22,reviewed,us,us
2016-02-18T01:07:14.070Z,-56.2123,-27.6226,119.26,5.8,mb,,51,5.427,1.05,us,us10004qp2,2016-02-21T03:56:17.000Z,"60km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.6,5.2,0.065,86,reviewed,us,us
2016-02-17T23:58:06.200Z,39.046,71.2398,46.67,4.7,mb,,53,1.987,1.21,us,us10004qnt,2016-02-18T08:00:50.757Z,"32km SW of Karakenja, Tajikistan",earthquake,6,4,0.072,58,reviewed,us,us
2016-02-17T19:26:55.580Z,-3.5193,101.4879,58.52,4.7,mb,,100,3.264,0.67,us,us10004qkp,2016-02-18T03:29:33.908Z,"91km WNW of Bengkulu, Indonesia",earthquake,6.5,8.5,0.093,35,reviewed,us,us
